name;url;country
SkyBundesliga7[Germany];https://topembed.pw/channel/SkyBundesliga7[Germany];Germany
SkyBundesliga8[Germany];https://topembed.pw/channel/SkyBundesliga8[Germany];Germany
SkyBundesliga9[Germany];https://topembed.pw/channel/SkyBundesliga9[Germany];Germany
SkySport1[Germany];https://topembed.pw/channel/SkySport1[Germany];Germany
SkySport2[Germany];https://topembed.pw/channel/SkySport2[Germany];Germany
SkySport3[Germany];https://topembed.pw/channel/SkySport3[Germany];Germany
SkySport4[Germany];https://topembed.pw/channel/SkySport4[Germany];Germany
SkySport5[Germany];https://topembed.pw/channel/SkySport5[Germany];Germany
SkySport6[Germany];https://topembed.pw/channel/SkySport6[Germany];Germany
SkySport7[Germany];https://topembed.pw/channel/SkySport7[Germany];Germany
SkySport8[Germany];https://topembed.pw/channel/SkySport8[Germany];Germany
SkySport9[Germany];https://topembed.pw/channel/SkySport9[Germany];Germany
SkySport10[Germany];https://topembed.pw/channel/SkySport10[Germany];Germany
SkySportTennis[Germany];https://topembed.pw/channel/SkySportTennis[Germany];Germany
SkySportTopEvent[Germany];https://topembed.pw/channel/SkySportTopEvent[Germany];Germany
SportTV1[Portugal];https://topembed.pw/channel/SportTV1[Portugal];Portugal
SportTV2[Portugal];https://topembed.pw/channel/SportTV2[Portugal];Portugal
SportTV3[Portugal];https://topembed.pw/channel/SportTV3[Portugal];Portugal
SportTV5[Portugal];https://topembed.pw/channel/SportTV5[Portugal];Portugal
SportTV4[Portugal];https://topembed.pw/channel/SportTV4[Portugal];Portugal
SportTV6[Portugal];https://topembed.pw/channel/SportTV6[Portugal];Portugal
Sportklub[Serbia];https://topembed.pw/channel/Sportklub[Serbia];Serbia
Sportklub1[Serbia];https://topembed.pw/channel/Sportklub1[Serbia];Serbia
Sportklub2[Serbia];https://topembed.pw/channel/Sportklub2[Serbia];Serbia
Sportklub3[Serbia];https://topembed.pw/channel/Sportklub3[Serbia];Serbia
Sportklub4[Serbia];https://topembed.pw/channel/Sportklub4[Serbia];Serbia
SuperSportAction[SouthAfrica];https://topembed.pw/channel/SuperSportAction[SouthAfrica];SouthAfrica
SuperSportCricket[SouthAfrica];https://topembed.pw/channel/SuperSportCricket[SouthAfrica];SouthAfrica
SuperSportFootball[SouthAfrica];https://topembed.pw/channel/SuperSportFootball[SouthAfrica];SouthAfrica
SuperSportGolf[SouthAfrica];https://topembed.pw/channel/SuperSportGolf[SouthAfrica];SouthAfrica
SuperSportGrandstand[SouthAfrica];https://topembed.pw/channel/SuperSportGrandstand[SouthAfrica];SouthAfrica
SuperSportLaLiga[SouthAfrica];https://topembed.pw/channel/SuperSportLaLiga[SouthAfrica];SouthAfrica
SuperSportMotorsport[SouthAfrica];https://topembed.pw/channel/SuperSportMotorsport[SouthAfrica];SouthAfrica
